Modellname;C6MDNP;C6ARTP;C6ARB1;C6ARB2;C6VABZ;C6SVK3;C6SVT3
Zubehör;ZB00;38337;Tür-Öffnungs- und Schließdämpfer;4er-Set, für 3-trg. bis 4-trg. Schränke;2x öffnen, 2x schließen;1950;ZUBEHÖR: 00
Zubehör;ZB00;38875;Adapter Schweiz;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;39428;LED-Schrankbeleuchtung Fineline;2er-Set, chromfarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;39429;LED-Schrankbeleuchtung Fineline;3er-Set, chromfarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;40222;Hängeschubkasten m. Softeinzug;Sockelbreite 81;3x Dekor;1950;ZUBEHÖR: 00
Zubehör;ZB00;40257;Hängeschubkasten m. Softeinzug;Sockelbreite 91;3x Dekor;1950;ZUBEHÖR: 00
Zubehör;ZB00;40598;Hängeschubkasten m. Softeinzug;Sockelbreite 97;3x Dekor;1950;ZUBEHÖR: 00
Zubehör;ZB00;40677;Hängeschubkasten m. Softeinzug;Sockelbreite 110;3x Dekor;1950;ZUBEHÖR: 00
Zubehör;ZB00;41102;Tür-Öffnungs- und Schließdämpfer;4er-Set, für 2-trg. Schränke;2x öffnen, 2x schließen;1950;ZUBEHÖR: 00
Zubehör;ZB00;43055;T-Einteilung,  8 Fachböden;Sockelbreite 68;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;43056;T-Einteilung,  8 Fachböden;Sockelbreite 81;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;43057;T-Einteilung,  8 Fachböden;Sockelbreite 91;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;43058;T-Einteilung,  8 Fachböden;Sockelbreite 97;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;43059;T-Einteilung,  8 Fachböden;Sockelbreite 110;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;46518;Tür-Schließdämpfer Mitteltür;für 3-trg. Schränke;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;52427;Tür-Öffnungs- und Schließdämpfer;4er-Set, für 3-trg. bis 4-trg. Schränke;2x öffnen, 2x schließen;1950;ZUBEHÖR: 00
Zubehör;ZB00;54204;LED-Schrankbeleuchtung für begeh. Eckschrank;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;59168;LED-Schrankbeleuchtung Darkline;2er-Set, schwarz;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;59169;LED-Schrankbeleuchtung Darkline;3er-Set, schwarz;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;60594;Tür-Schließdämpfer;2er-Set, für 2-trg.  bis 4-trg. Schränke;für Außentüren;1950;ZUBEHÖR: 00
Zubehör;ZB00;60714;Schuhfächer ,4er Set;Sockelbreite 54;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;60715;Schuhfächer ,4er Set;Sockelbreite 81;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;60716;Schuhfächer ,4er Set;Sockelbreite 91;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;60717;Schuhfächer ,4er Set;Sockelbreite 97;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;60718;Schuhfächer ,4er Set;Sockelbreite 110;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;63929;T-Einteilung;Sockelbreite 68;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;65977;LED-Schrankbeleuchtung WING;2er-Set alufarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;65978;LED-Schrankbeleuchtung WING;3er-Set alufarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;68394;Dämpferpaket nur für Ausf. Savona;6er-Set;3x öffnen, 3x schließen;1950;ZUBEHÖR: 00
Zubehör;ZB00;73340;Bettbeleuchtung OMEGA, chromfarbig;1er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;73341;Bettbeleuchtung OMEGA, chromfarbig;2er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;73342;Bettbeleuchtung OMEGA, alufarbig;1er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;73343;Bettbeleuchtung OMEGA, alufarbig;2er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;73858;Tür-Schließdämpfer Mitteltür;2er-Set, für 4-trg. Schränke;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;73859;Tür-Schließdämpfer Mitteltür;2er-Set, für 4-trg. Schränke;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;74943;Wäschekorb ausziehbar;Sockelbreite 81;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;74944;Wäschekorb ausziehbar;Sockelbreite 91;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;74945;Wäschekorb ausziehbar;Sockelbreite 97;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;74946;Wäschekorb ausziehbar;Sockelbreite 110;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;78886;Fachboden, 1er Set;Sockelbreite 81;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
